Time-Year,Time-Date,Ticker,AAPL,CDW,CTRX,FB,GOOG,GOOGL,INTC,MSFT,MU,QCOM,STX,TECD,TXN,WDC
2013,2013-02-04,,70.42,,135.25,73.53,,120.04,77.36,88.92,102.24,98.92,137.05,95.92,105.11,118.21
2013,2013-02-05,,72.89,,137.01,74.91,,121.10,78.27,89.13,103.69,100.88,137.69,96.46,106.64,118.86
2013,2013-02-06,,72.81,,135.94,75.99,,121.80,77.56,88.61,104.74,101.24,140.38,96.61,106.04,122.32
2013,2013-02-07,,74.98,,135.94,74.94,,122.40,76.93,88.40,101.84,100.27,140.85,96.97,105.61,121.33
2013,2013-02-08,,76.06,,131.49,74.68,,124.20,77.60,89.30,102.11,100.88,143.89,97.75,108.30,123.58
2013,2013-02-11,,76.85,,131.57,73.92,,123.74,77.72,90.29,104.22,101.24,142.14,97.12,106.44,123.87
2013,2013-02-12,,74.92,,133.26,71.59,,123.46,78.31,90.36,104.35,99.29,140.64,97.15,106.04,122.80
2013,2013-02-13,,74.78,,136.88,73.01,,123.81,78.54,90.84,104.74,98.62,141.97,98.03,106.54,123.95
2013,2013-02-14,,74.71,,135.63,74.55,,124.59,78.46,90.87,106.46,98.74,141.71,100.36,106.77,124.40
2013,2013-02-15,,73.68,,137.04,74.08,,125.39,78.07,90.77,104.22,98.59,139.70,100.24,106.14,123.85
2013,2013-02-19,,73.66,,137.93,75.67,,127.60,77.95,91.66,106.98,98.95,138.59,101.16,107.24,123.79
2013,2013-02-20,,71.88,,140.05,74.44,,125.33,76.62,91.08,103.82,98.35,131.79,101.14,104.45,118.63
2013,2013-02-21,,71.42,,138.57,71.36,,125.81,74.85,89.85,101.19,97.68,128.63,100.15,102.62,116.58
2013,2013-02-22,,72.19,,139.59,70.97,,126.47,75.48,90.70,105.67,97.85,129.10,100.64,108.00,117.00
2013,2013-02-25,,70.91,,140.36,71.33,,125.06,74.77,89.43,104.48,97.65,125.04,98.58,106.57,114.22
2013,2013-02-26,,71.89,,139.18,71.65,,124.96,76.07,89.43,104.87,98.35,127.05,98.78,106.67,116.92
2013,2013-02-27,,71.19,,141.86,70.29,,126.48,77.36,90.87,107.77,98.92,129.66,100.00,108.33,119.83
2013,2013-02-28,,70.69,,137.29,71.28,,126.71,77.17,90.84,110.41,98.92,130.43,99.33,108.80,120.20
2013,2013-03-01,,68.93,,140.20,72.67,,127.50,77.72,91.32,108.70,99.91,131.07,97.77,109.06,122.80
2013,2013-03-04,,67.26,,142.94,72.51,,129.92,78.62,92.01,110.67,100.41,129.91,89.48,109.19,121.85
2013,2013-03-05,,69.04,,145.47,71.99,,132.62,79.48,92.66,115.02,102.42,131.15,90.64,110.59,123.29
2013,2013-03-06,,68.16,,143.68,71.80,,131.48,80.38,91.80,113.97,100.83,133.89,94.01,111.02,124.45
2013,2013-03-07,,68.95,,143.58,74.76,,131.67,80.89,91.97,117.79,101.02,130.64,93.80,111.22,120.49
2013,2013-03-08,,69.14,,141.40,73.14,,131.50,79.76,91.49,121.21,100.80,131.79,93.62,111.52,121.48
2013,2013-03-11,,70.12,,140.49,73.61,,132.02,80.15,91.08,123.19,100.88,135.17,93.04,112.21,122.38
2013,2013-03-12,,68.60,,137.68,72.80,,130.88,79.99,91.22,122.79,101.40,141.67,93.09,112.55,127.41
2013,2013-03-13,,68.59,,136.76,70.83,,130.52,80.07,91.25,125.30,100.96,143.21,92.10,111.52,128.44
2013,2013-03-14,,69.25,,135.38,70.73,,129.92,80.03,91.97,127.67,100.69,145.56,93.34,111.78,129.28
2013,2013-03-15,,71.05,,132.67,69.71,,128.78,79.01,91.63,123.45,98.26,143.33,94.05,110.85,127.86
2013,2013-03-18,,72.97,,132.03,69.29,,127.75,78.58,91.84,120.95,97.65,143.12,93.35,109.39,126.42
2013,2013-03-19,,72.77,,129.53,69.45,,128.31,78.15,92.08,121.74,97.88,139.44,93.11,109.53,124.53
2013,2013-03-20,,72.39,,133.38,67.64,,128.84,78.27,92.56,122.66,99.44,141.71,93.99,110.79,125.73
2013,2013-03-21,,72.50,,132.44,67.33,,128.30,77.76,91.87,119.50,98.84,140.00,92.76,108.33,122.59
2013,2013-03-22,,73.96,,133.51,67.30,,128.15,78.85,92.32,132.28,99.70,140.81,86.11,108.89,122.17
2013,2013-03-25,,74.23,,132.75,65.73,,128.04,78.19,92.01,130.17,99.33,140.81,84.69,108.93,121.14
2013,2013-03-26,,73.85,,134.87,65.94,,128.48,80.46,92.01,130.70,100.75,145.51,85.02,110.89,124.74
2013,2013-03-27,,72.39,,134.51,68.24,,126.94,80.70,92.69,131.23,100.85,148.76,85.34,110.85,128.46
